IDYear_GEN,Coal (TWh; substituted energy),Solar (TWh; substituted energy),Oil (TWh; substituted energy),Gas (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Other renewables (TWh; substituted energy),Hydropower (TWh; substituted energy),Nuclear (TWh; substituted energy),Wind (TWh; substituted energy),Biofuels (TWh; substituted energy)
1800,97,0,0,0,5556,0,0,0,0,0
1810,128,0,0,0,5833,0,0,0,0,0
1820,153,0,0,0,6111,0,0,0,0,0
1830,264,0,0,0,6389,0,0,0,0,0
1840,356,0,0,0,6944,0,0,0,0,0
1850,569,0,0,0,7222,0,0,0,0,0
1860,1061,0,0,0,6944,0,0,0,0,0
1870,1642,0,6,0,6944,0,0,0,0,0
1880,2542,0,33,0,6944,0,0,0,0,0
1890,3856,0,89,33,6667,0,37,0,0,0
1900,5728,0,181,64,6111,0,44,0,0,0
1910,8656,0,397,142,6389,0,88,0,0,0
1920,9833,0,889,233,6944,0,168,0,0,0
1930,10125,0,1756,603,7222,0,344,0,0,0
1940,11586,0,2653,875,7222,0,504,0,0,0
1950,12603,0,5444,2092,7500,0,877,0,0,0
1960,15442,0,11097,4472,8889,0,1813,0,0,0
1965,16140,0,18109,6303,9162,50,2564,71,0,0
1966,16324,0,19496,6869,9218,55,2733,96,0,0
1967,16061,0,20891,7375,9274,56,2794,114,0,0
1968,16301,0,22675,8044,9331,61,2942,145,0,0
1969,16799,0,24577,8833,9387,65,3116,172,0,0
1970,17059,0,26708,9614,9444,71,3263,219,0,0
1971,16966,0,28205,10292,9499,77,3409,305,0,0
1972,17154,0,30378,10861,9553,83,3568,423,0,0
1973,17668,0,32746,11378,9608,89,3619,566,0,0
1974,17682,0,32272,11656,9663,94,3976,741,0,0
1975,18025,0,31948,11661,9718,96,4025,1027,0,0
1976,18688,0,34030,12356,9774,107,4009,1202,0,0
1977,19241,0,35215,12761,9830,113,4144,1496,0,0
1978,19458,0,36426,13294,9886,119,4484,1738,0,0
1979,20364,0,37024,14119,9943,128,4709,1808,0,0
1980,20858,0,35577,14239,10000,137,4810,1978,0,0
1981,21150,0,34296,14394,10106,148,4914,2335,0,0
1982,21384,0,33198,14469,10213,170,5003,2534,0,0
1983,22045,0,32969,14703,10321,189,5216,2872,0,0
1984,23000,0,33739,15903,10430,211,5393,3485,0,0
1985,23986,0,33789,16261,10541,216,5499,4136,0,0
1986,24256,0,34803,16419,10653,238,5574,4430,0,0
1987,25210,0,35499,17281,10765,255,5649,4819,1,0
1988,25965,0,36703,18089,10879,262,5830,5253,1,0
1989,26213,1,37300,18869,10995,290,5799,5403,7,0
1990,25895,1,37691,19483,11111,325,5997,5557,10,91
1991,25643,1,37691,19975,11243,339,6137,5823,11,102
1992,25550,1,38344,20067,11376,364,6136,5867,13,98
1993,25675,2,38099,20269,11511,376,6503,6069,16,100
1994,25774,2,38935,20394,11647,390,6547,6183,20,111
1995,25954,2,39445,21108,11785,407,6905,6451,23,115
1996,26572,2,40380,22164,11925,418,7001,6686,26,115
1997,26527,2,41413,22033,12066,448,7128,6640,33,132
1998,26360,2,41624,22439,12209,469,7186,6754,44,126
1999,26522,3,42371,23075,12414,493,7238,7012,59,122
2000,27417,3,42897,24000,12500,517,7367,7169,87,116
2001,27853,4,43278,24331,12500,530,7131,7324,106,127
2002,28945,5,43639,25053,12470,566,7216,7393,143,149
2003,31497,6,44610,25753,12329,594,7159,7197,171,185
2004,33664,8,46256,26736,12160,637,7636,7476,230,209
2005,36171,11,46824,27464,12076,685,7845,7448,280,246
2006,38071,15,47367,28175,11993,726,8093,7493,355,313
2007,40224,21,47958,29325,11911,783,8179,7295,454,424
2008,40770,33,47566,30025,11829,833,8599,7227,582,574
2009,40149,55,46654,29411,11747,891,8533,7081,724,636
2010,41997,88,48087,31606,11667,990,8958,7219,903,734
2011,44018,169,48550,32372,11553,1033,9073,6874,1142,775
2012,44185,260,49157,33219,11441,1110,9401,6364,1367,789
2013,44993,356,49689,33767,11330,1188,9765,6384,1628,857
2014,44954,504,50014,33994,11220,1275,9910,6467,1798,933
2015,43844,650,50892,34781,11111,1362,9827,6516,2104,937
2016,43196,825,51920,35589,11111,1378,10092,6576,2424,970
2017,43360,1117,52568,36586,11111,1457,10165,6596,2852,1012
2018,44109,1448,53181,38517,11111,1529,10368,6711,3157,1109
2019,43849,1793,53620,39292,11111,1614,10455,6923,3540,1143
